Synthesizer opened
send call: Command 144, MIDIPitch 52; Volume 72; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 72; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 70; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 70; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 72; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 72; timeStamp 0
send call: Command 144, MIDIPitch 48; Volume 71; timeStamp -1
send call: Command 128, MIDIPitch 48; Volume 71; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 79; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 79; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 85; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 85; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 79; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 79; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 78; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 78; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 74; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 74; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 77; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 77; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 75; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 75; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 77; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 77; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 75; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 75; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 79; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 79; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 82; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 82; timeStamp 0
send call: Command 144, MIDIPitch 55; Volume 84; timeStamp -1
send call: Command 128, MIDIPitch 55; Volume 84; timeStamp 0
send call: Command 144, MIDIPitch 55; Volume 75; timeStamp -1
send call: Command 128, MIDIPitch 55; Volume 75; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 78; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 78; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 73; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 73; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 69; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 69; timeStamp 0
send call: Command 144, MIDIPitch 48; Volume 71; timeStamp -1
send call: Command 128, MIDIPitch 48; Volume 71; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 80; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 80; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 79; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 79; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 84; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 84; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 76; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 76; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 74; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 74; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 77; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 77; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 75; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 75; timeStamp 0
send call: Command 144, MIDIPitch 43; Volume 78; timeStamp -1
send call: Command 128, MIDIPitch 43; Volume 78; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 74; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 74; timeStamp 0
send call: Command 144, MIDIPitch 52; Volume 81; timeStamp -1
send call: Command 128, MIDIPitch 52; Volume 81; timeStamp 0
send call: Command 144, MIDIPitch 50; Volume 70; timeStamp -1
send call: Command 128, MIDIPitch 50; Volume 70; timeStamp 0
send call: Command 144, MIDIPitch 40; Volume 72; timeStamp -1
send call: Command 128, MIDIPitch 40; Volume 72; timeStamp 0
send call: Command 144, MIDIPitch 48; Volume 73; timeStamp -1
send call: Command 128, MIDIPitch 48; Volume 73; timeStamp 0
Synthesizer closed
